
[2026-01-24 22:24:00] 🔎 فحص قسم: اخبار قنا
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: حريق في شقة بالطابق الثاني بشارع الجميل في قنا، والحماية المدنية تتدخل بسرعة للسيطرة عليه دون إصابات.
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: العثور على جثة طفل غريق في ترعة قرب منزله في قنا
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: نقل قسم الاستقبال إلى المبنى الجديد بمستشفى فرشوط المركزي لتحسين الخدمات الصحية في قنا
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: "نجاح مديرية التموين في قنا في إحباط محاولة تصرف غير قانوني بـ 10 أطنان من السكر المدعم"
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: اجتماع وزير الاستثمار مع مستثمرين في قنا لمناقشة الفرص والتحديات الاستثمارية
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: "نجع حمادي: صيانة شاملة لإنارة الشوارع لتحسين الإضاءة والسلامة العامة"
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: منار غانم: درجات الحرارة ستبقى منخفضة هذا الأسبوع مع احتمال حدوث صقيع في بعض المناطق
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: أهالي قرية الحلفاية بحري يودعون معلمهم الراحل الذي توفي أثناء العمرة في مكة، ويعتبرونه "حسن خاتمة"
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: تحقيقات في قنا بعد العثور على جثمان طفل غارق في ترعة بقرية الطود
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: "القبض على سيدة بحوزتها بطاقات شخصية قرب دائرة انتخابية في قفط"
[2026-01-24 22:24:00] ⏭️ متخطّي (منشور سابقًا) | قسم: اخبار قنا | عنوان: الأمن يضبط سيارة "ميكروباص" استخدمت في تحفيز الناخبين لصالح مرشح في نجع حمادي.
[2026-01-24 22:24:00] 🆕 خبر جديد | قسم: اخبار قنا | عنوان: الأمن يقبض على شخص في نجع حمادي بحوزته بطاقات وأموال لتوجيه الناخبين في الانتخابات
[2026-01-24 22:24:05] ✅ تم النشر بنجاح | قسم: اخبار قنا | عنوان: الأمن يقبض على شخص في نجع حمادي بحوزته بطاقات وأموال لتوجيه الناخبين في الانتخابات
